,created_at,text,datetime,label,onehot
14,2019-11-09 19:25:40,....Whatever happened to the so-called “informer” to Whistleblower #1? Seems to have disappeared after I released the Transcript of the call. Shouldn’t he be on the list to testify? Witch Hunt!,2019-11-09 14:25:40,1,"[0, 0, 1]"
15,2019-11-09 18:52:21,"I recommend that Nervous Nancy Pelosi (who backed up Schiff’s lie), Shifty Adam Schiff, Sleepy Joe Biden, the Whistleblower (who miraculously disappeared after I released the transcript of the call), the 2nd Whistleblower (who also disappeared), &amp; the I.G., be part of the list!",2019-11-09 13:52:21,1,"[0, 0, 1]"
16,2019-11-09 17:49:06,PRESIDENTIAL HARASSMENT!,2019-11-09 12:49:06,1,"[0, 0, 1]"
17,2019-11-09 16:15:08,"But the Witch Hunt continues. After 3 years of relentless attacks against the Republican Party &amp; me, the Do Nothing Dems are losers for America! https://t.co/met2y8VoPe",2019-11-09 11:15:08,1,"[0, 0, 1]"
18,2019-11-09 15:44:36,Bringing the word “Nationalism” back into the mainstream - great job by Rich Lowry! Very important book. https://t.co/yQI4ylGgDb,2019-11-09 10:44:36,1,"[0, 0, 1]"
19,2019-11-09 15:37:20,"Just finished reading my son Donald’s just out new book, “Triggered.” It is really good! He, along with many of us, was very unfairly treated. But we all fight back, and we always win!",2019-11-09 10:37:20,1,"[0, 0, 1]"
20,2019-11-09 12:01:48,We will win big! https://t.co/ZM01nPimh3,2019-11-09 07:01:48,1,"[0, 0, 1]"
21,2019-11-09 12:00:47,True! https://t.co/dwdOnYAjlw,2019-11-09 07:00:47,1,"[0, 0, 1]"
22,2019-11-09 11:46:43,"Good luck Vince, this will be great! https://t.co/084GASJN6e",2019-11-09 06:46:43,1,"[0, 0, 1]"
23,2019-11-09 11:41:21,"Fake News is reporting that I am talking to Mark Burnett about doing a big show, perhaps The Apprentice, after the presidency, which I would assume they mean in 5 years. This is not true, never had such a conversation, don’t even have time to think about it. False reporting!",2019-11-09 06:41:21,1,"[0, 0, 1]"
24,2019-11-09 04:58:38,"“Mark Levin blasts Adam Schiff, claims 'the law is on the president's side' on Ukraine” https://t.co/GhO065fd8X",2019-11-08 23:58:38,1,"[0, 0, 1]"
25,2019-11-08 17:19:37,I will be announcing the winners of the #MAGACHALLENGE and inviting them to the @WhiteHouse to meet with me and perform. Good luck! https://t.co/3PYzOvYz17,2019-11-08 12:19:37,0,"[0, 1, 0]"
26,2019-11-08 03:08:53,https://t.co/z0I7wBsgTP,2019-11-07 22:08:53,0,"[0, 1, 0]"
27,2019-11-08 00:08:15,STATEMENT FROM PRESIDENT DONALD J. TRUMP https://t.co/EktztHfLk6,2019-11-07 19:08:15,0,"[0, 1, 0]"
28,2019-11-07 15:43:29,Stock Market up big today. A New Record. Enjoy!,2019-11-07 10:43:29,0,"[0, 1, 0]"
29,2019-11-07 15:41:53,The Radical Left Dems and LameStream Media are just trying to make it hard for Republicans and me to win in 2020. The new Impeachment Hoax is already turning against them!,2019-11-07 10:41:53,0,"[0, 1, 0]"
30,2019-11-07 15:27:57,"The Amazon Washington Post and three lowlife reporters, Matt Zapotosky, Josh Dawsey, and Carol Leonnig, wrote another Fake News story, without any sources (pure fiction), about Bill Barr &amp; myself. We both deny this story, which they knew before they wrote it. A garbage newspaper!",2019-11-07 10:27:57,0,"[0, 1, 0]"
31,2019-11-07 15:18:53,THANK YOU! #MAGA https://t.co/e6dZshYFMV,2019-11-07 10:18:53,0,"[0, 1, 0]"
32,2019-11-07 15:16:15,"It was just explained to me that for next weeks Fake Hearing (trial) in the House, as they interview Never Trumpers and others, I get NO LAWYER &amp; NO DUE PROCESS. It is a Pelosi, Schiff, Scam against the Republican Party and me. This Witch Hunt should not be allowed to proceed!",2019-11-07 10:16:15,0,"[0, 1, 0]"
33,2019-11-07 14:51:38,“What did Hunter Biden do for the money?” @SenJohnKennedy  A very good question. He and Sleepy Joe must testify!,2019-11-07 09:51:38,-1,"[1, 0, 0]"
34,2019-11-07 14:00:34,"Based on the information released last night about the Fake Whistleblowers attorney, the Impeachment Hoax should be ended IMMEDIATELY! There is no case, except against the other side!",2019-11-07 09:00:34,-1,"[1, 0, 0]"
35,2019-11-07 13:47:57,Read the Transcript!,2019-11-07 08:47:57,-1,"[1, 0, 0]"
36,2019-11-07 13:46:30,"The degenerate Washington Post MADE UP the story about me asking Bill Barr to hold a news conference. Never happened, and there were no sources!",2019-11-07 08:46:30,-1,"[1, 0, 0]"
37,2019-11-07 12:28:41,Bill Barr did not decline my request to talk about Ukraine. The story was a Fake Washington Post con job with an “anonymous” source that doesn’t exist. Just read the Transcript. The Justice Department already ruled that the call was good. We don’t have freedom of the press!,2019-11-07 07:28:41,-1,"[1, 0, 0]"
38,2019-11-07 06:49:46,"Just returned to the @WhiteHouse after a great evening in Monroe, Louisiana with a massive turnout of Great American Patriots. With early voting underway until Sat, find your polling location below &amp; go vote for your next #LAgov, @EddieRispone! #GeauxVote??https://t.co/0rnhb4z3HU https://t.co/VLqgd5SOEc",2019-11-07 01:49:46,-1,"[1, 0, 0]"
39,2019-11-07 05:08:41,"....The LameStream Media, which is The Enemy of the People, is working overtime with made up stories in order to drive dissension and distrust!",2019-11-07 00:08:41,-1,"[1, 0, 0]"
40,2019-11-07 05:08:40,"The story in the Amazon Washington Post, of course picked up by Fake News CNN, saying “President Trump asked for AG Barr to host a news conference clearing him on Ukraine,” is totally untrue and just another FAKE NEWS story with anonymous sources that don’t exist....",2019-11-07 00:08:40,-1,"[1, 0, 0]"
41,2019-11-07 05:06:41,"Years ago, when Media was legitimate, people known as “Fact Checkers” would always call to check and see if a story was accurate. Nowadays they don’t use “Fact Checkers” anymore, they just write whatever they want!",2019-11-07 00:06:41,-1,"[1, 0, 0]"
42,2019-11-07 03:36:49,"LOUISIANA! Early voting is underway until Saturday, it’s time to get out and VOTE to REPLACE Radical Liberal Democrat John Bel Edwards with a great new REPUBLICAN Governor, @EddieRispone! #GeauxVote

POLL FINDER: https://t.co/0rnhb4hsjk https://t.co/7RtlPqKu2U",2019-11-06 22:36:49,-1,"[1, 0, 0]"
43,2019-11-07 03:09:29,https://t.co/uxVQ4b1iwS,2019-11-06 22:09:29,-1,"[1, 0, 0]"
44,2019-11-06 23:56:46,"A great evening last night in Kentucky and Mississippi for the Republican Party with 13 BIG WINS, including a Governorship in Mississippi. Congratulations to everyone! https://t.co/bvQLOmwlbd",2019-11-06 18:56:46,-1,"[1, 0, 0]"
45,2019-11-06 21:54:02,"Thanks to many of you here today, my Administration and Republicans in Congress have now confirmed 157 FEDERAL JUDGES who will uphold our Constitution AS WRITTEN, a profoundly historic milestone and a truly momentous achievement! https://t.co/s7u6wjAvjB",2019-11-06 16:54:02,-1,"[1, 0, 0]"
46,2019-11-06 20:15:58,Just had a very good call with President @RTErdogan of Turkey. He informed me that they have captured numerous ISIS fighters that were reported to have escaped during the conflict – including a wife and sister of terrorist killer al Baghdadi….,2019-11-06 15:15:58,1,"[0, 0, 1]"
47,2019-11-06 20:15:58,"....Also talked about their Border with Syria, the eradication of terrorism, the ending of hostilities with the Kurds, and many other topics. Look forward to seeing President Erdogan next Wednesday, November 13th at the @WhiteHouse!",2019-11-06 15:15:58,1,"[0, 0, 1]"
48,2019-11-06 19:10:25,"Just had a meeting with top representatives from Egypt, Ethiopia, and Sudan to help solve their long running dispute on the Grand Ethiopian Renaissance Dam, one of the largest in the world, currently being built. The meeting went well and discussions will continue during the day! https://t.co/MsWuEBgZxK",2019-11-06 14:10:25,0,"[0, 1, 0]"
49,2019-11-06 13:30:06,Stock Markets (all three) hit another ALL TIME &amp; HISTORIC HIGH yesterday! You are sooo lucky to have me as your President (just kidding!). Spend your money well!,2019-11-06 08:30:06,1,"[0, 0, 1]"
50,2019-11-06 13:17:47,"Thank you to Kurt Volker, U.S. Envoy to Ukraine, who said in his Congressional Testimony, just released, “You asked what conversations did I have about that quid pro quo, et cetra. NONE, because I didn’t know there was a quid pro quo.”  Witch Hunt!",2019-11-06 08:17:47,1,"[0, 0, 1]"
51,2019-11-06 13:06:15,"“Based on the things I’ve seen, the Democrats have no case, or a weak case, at best. I don’t think there are, or will be, well founded articles of Impeachment here.” Robert Wray, respected former prosecutor. It is a phony scam by the Do Nothing Dems! @foxandfriends",2019-11-06 08:06:15,1,"[0, 0, 1]"
52,2019-11-06 12:51:44,"Based on the Kentucky results, Mitch McConnell @senatemajldr will win BIG in Kentucky next year!",2019-11-06 07:51:44,1,"[0, 0, 1]"
53,2019-11-06 05:18:27,Great going Tate! https://t.co/ghtl3Zmj1z,2019-11-06 00:18:27,1,"[0, 0, 1]"
54,2019-11-06 05:15:06,"Our big Kentucky Rally on Monday night had a massive impact on all of the races. The increase in Governors race was at least 15 points, and maybe 20! Will be in Louisiana for @EddieRispone on Wednesday night. Big Rally!",2019-11-06 00:15:06,1,"[0, 0, 1]"
55,2019-11-06 04:56:14,A lot of winning in Kentucky. Check out the numbers. https://t.co/xcXIzIwylg,2019-11-05 23:56:14,1,"[0, 0, 1]"
56,2019-11-06 04:51:12,Congratulations to @tatereeves on winning Governor of the Great State of Mississippi. Our big Rally on Friday night moved the numbers from a tie to a big WIN. Great reaction under pressure Tate!,2019-11-05 23:51:12,1,"[0, 0, 1]"
57,2019-11-06 04:37:49,"#ElectionNight  Won 5 out of 6 elections in Kentucky, including 5 great candidates that I spoke for and introduced last night. @MattBevin picked up at least 15 points in last days, but perhaps not enough (Fake News will blame Trump!). Winning in Mississippi Governor race!",2019-11-05 23:37:49,1,"[0, 0, 1]"
58,2019-11-06 02:38:43,"Great going Daniel, proud of you! https://t.co/0dUY5HoATN",2019-11-05 21:38:43,1,"[0, 0, 1]"
59,2019-11-06 01:02:45,95% Approval Rating in the Republican Party. Thank you! https://t.co/Z0VHUlAwMD,2019-11-05 20:02:45,1,"[0, 0, 1]"
60,2019-11-05 20:42:10,"KENTUCKY! #KYGov 
 
Get out today and VOTE for @MattBevin and the entire Republican ticket! 
 
MISSISSIPPI! #MSGov 
 
Get out today and VOTE for @TateReeves and the entire Republican ticket!

Polls are open for a few more hours, find your location below! 
https://t.co/0rnhb4z3HU",2019-11-05 15:42:10,1,"[0, 0, 1]"
61,2019-11-05 18:58:07,Thank you so much CLUB 45. You are truly Great Americans. See you in Florida! https://t.co/0NuayEXEPn,2019-11-05 13:58:07,0,"[0, 1, 0]"
62,2019-11-05 17:19:46,"KENTUCKY! 
 
Get out today and VOTE for @MattBevin and the entire Republican ticket! 
 
MISSISSIPPI! 
 
Get out today and VOTE for @TateReeves and the entire Republican ticket!
 
#VoteOnNov5 #ElectionDay 

Find your polling location below!
https://t.co/0rnhb4z3HU",2019-11-05 12:19:46,-1,"[1, 0, 0]"
63,2019-11-05 17:00:14,A very good start! Please all work hard to get a final deal. https://t.co/IYGeBqQIQ9,2019-11-05 12:00:14,-1,"[1, 0, 0]"
64,2019-11-05 14:05:24,"So sad to see what is happening in New York where Governor Cuomo &amp;  Mayor DeBlasio are letting out 900 Criminals, some hardened &amp; bad, onto the sidewalks of our rapidly declining, because of them, city. The Radical Left Dems are killing our cities. NYPD Commissioner is resigning!",2019-11-05 09:05:24,0,"[0, 1, 0]"
65,2019-11-05 13:59:03,FIND YOUR POLLING LOCATION HERE! https://t.co/0rnhb4z3HU,2019-11-05 08:59:03,0,"[0, 1, 0]"
66,2019-11-05 13:47:31,"So sad to see what is happening in New York where Governor Cuomo and Mayor DeBlasio are letting out 900 Criminals, some hardened and bad, onto the sidewalks of our rapidly declining, because of them, city. The Radical Left Dems are killing our cities. NYPD Chief is resigning!",2019-11-05 08:47:31,0,"[0, 1, 0]"
67,2019-11-05 13:28:37,"This is the time for Mexico, with the help of the United States, to wage WAR on the drug cartels and wipe them off the face of the earth. We merely await a call from your great new president!",2019-11-05 08:28:37,0,"[0, 1, 0]"
68,2019-11-05 13:25:23,"....monsters, the United States stands ready, willing &amp; able to get involved and do the job quickly and effectively. The great new President of Mexico has made this a big issue, but the cartels have become so large and powerful that you sometimes need an army to defeat an army!",2019-11-05 08:25:23,0,"[0, 1, 0]"
69,2019-11-05 13:25:13,"A wonderful family and friends from Utah got caught between two vicious drug cartels, who were shooting at each other, with the result being many great American people killed, including young children, and some missing. If Mexico needs or requests help in cleaning out these.....",2019-11-05 08:25:13,0,"[0, 1, 0]"
70,2019-11-05 12:58:24,"“The Impeachment Hoax has fired up voters in Kentucky, Mississippi and Louisiana.” @foxandfriends",2019-11-05 07:58:24,0,"[0, 1, 0]"
71,2019-11-05 12:47:14,Fantastic being in the Great State of Kentucky last night. Vote for Matt Bevin NOW! @MattBevin  One of Best Governors in U.S. He will never let you down!,2019-11-05 07:47:14,0,"[0, 1, 0]"
72,2019-11-05 12:09:51,The Do Nothing Dems have gone Radical Left Crazy. The can’t get anything done! https://t.co/wasvWli9jr,2019-11-05 07:09:51,0,"[0, 1, 0]"
73,2019-11-05 12:05:22,"Virginia, with all of the massive amount of defense and other work I brought to you, and with everything planned, go out and vote Republican today. I know the Dems are saying that they have your vote locked up, but that would mean a long slide down. VOTE REPUBLICAN TODAY!",2019-11-05 07:05:22,0,"[0, 1, 0]"
74,2019-11-05 02:08:09,Vote for Sean Spicer on Dancing with the Stars. He is a great and very loyal guy who is working very hard! #MAGA https://t.co/JGvKANCRqZ,2019-11-04 21:08:09,0,"[0, 1, 0]"
75,2019-11-05 01:55:21,"THANK YOU Lexington, Kentucky! Get out tomorrow and VOTE for Governor @MattBevin and the entire Republican ticket. America is thriving like never before – and the BEST IS YET TO COME! https://t.co/wkPrPW8haY",2019-11-04 20:55:21,0,"[0, 1, 0]"
76,2019-11-04 23:24:23,"Congratulations to the Washington @Nationals, 2019 World Series Champions! https://t.co/rD0HuL0fJC https://t.co/OpB9Gw2LgA",2019-11-04 18:24:23,0,"[0, 1, 0]"
77,2019-11-04 17:39:36,"My son, @DonaldJTrumpJr is coming out with a new book, “Triggered: How the Left Thrives on Hate and Wants to Silence Us” – available tomorrow, November 5th! A great new book that I highly recommend for ALL to read. Go order it today!",2019-11-04 12:39:36,1,"[0, 0, 1]"
78,2019-11-04 15:09:53,All-Time High for Stock Market and all the Fake News wants to talk about is the Impeachment Hoax!,2019-11-04 10:09:53,1,"[0, 0, 1]"
79,2019-11-04 14:51:29,Read the Transcript!,2019-11-04 09:51:29,-1,"[1, 0, 0]"
80,2019-11-04 14:51:26,"Big Rally in Kentucky TONIGHT for a man who has worked really hard &amp; done a GREAT job, Gov @MattBevin. Kentucky is having the best economic year ever under Matt’s leadership. He is a fantastic guy who loves our Military, our Vets and our 2A. Vote Tuesday! https://t.co/6MYQiI7c3X",2019-11-04 09:51:26,-1,"[1, 0, 0]"
81,2019-11-04 14:22:13,"....I don’t like him using my name to build his consulting company, or whatever. Please advise his clients and Administration officials accordingly.",2019-11-04 09:22:13,-1,"[1, 0, 0]"
82,2019-11-04 14:22:09,"Many people say they know me, claiming to be “best friends” and really close etc., when I don’t know these people at all. This happens, I suppose, to all who become President. With that being stated, I don’t know, to the best of my knowledge, a man named Michael Esposito.....",2019-11-04 09:22:09,-1,"[1, 0, 0]"
83,2019-11-04 13:45:24,Stock Market hits RECORD HIGH. Spend your money well!,2019-11-04 08:45:24,-1,"[1, 0, 0]"
84,2019-11-04 13:14:30,“There is no Whistleblower. There is someone with an agenda against Donald Trump. What he was blowing the whistle on didn’t happen. We have the transcript of the call. This is all a farce and no Republican should forget that.” @dbongino @foxandfriends,2019-11-04 08:14:30,-1,"[1, 0, 0]"
85,2019-11-04 12:58:31,95% Approval Rating in the Republican Party. Thank you!,2019-11-04 07:58:31,-1,"[1, 0, 0]"
86,2019-11-04 12:50:51,The Whistleblower gave false information &amp; dealt with corrupt politician Schiff. He must be brought forward to testify. Written answers not acceptable! Where is the 2nd Whistleblower? He disappeared after I released the transcript. Does he even exist? Where is the informant? Con!,2019-11-04 07:50:51,-1,"[1, 0, 0]"
87,2019-11-04 12:06:39,What I said on the phone call with the Ukrainian President is “perfectly” stated. There is no reason to call witnesses to analyze my words and meaning. This is just another Democrat Hoax that I have had to live with from the day I got elected (and before!). Disgraceful!,2019-11-04 07:06:39,-1,"[1, 0, 0]"
88,2019-11-04 11:53:00,"Mark Levin, a great lawyer and scholar, said last night on his @marklevinshow, that all you have to do is read the transcript of the call, you do not need Never Trumpers or other witnesses to say what it means or says. It is plainly and very well stated for all to see. Witch Hunt",2019-11-04 06:53:00,-1,"[1, 0, 0]"
89,2019-11-04 11:38:43,Great! But how do you know it was a “mistweet?” May be something with deep meaning! https://t.co/00EXMCgQLp,2019-11-04 06:38:43,-1,"[1, 0, 0]"
90,2019-11-04 05:15:54,"Louisiana, get out and Vote Early for @EddieRispone as your next Governor. Lower Taxes and car insurance. Will protect your 2nd Amendment. John Bel Edwards is always fighting our MAGA Agenda. Wants to raise your taxes and car insurance to the sky. Vote for Republican Eddie R!",2019-11-04 00:15:54,-1,"[1, 0, 0]"
91,2019-11-04 05:01:09,"Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate, 13th District. He is strong on Crime, the Border, our Military, Cutting Taxes, and protecting your 2nd Amendment. Dem John Bell will take your guns &amp; raise your taxes. Vote for Geary Higgins",2019-11-04 00:01:09,-1,"[1, 0, 0]"
92,2019-11-04 04:18:48,"@marklevinshow Mark Levin: “We ought to talk about the substance of this phone call. We have the call, I don’t know what we need witnesses for? Can’t we read English? Do I need a Whistleblower to tell me what I’m reading? Do I need a Lt. C. to tell me? NO.” So plain and simple!",2019-11-03 23:18:48,-1,"[1, 0, 0]"
93,2019-11-04 03:54:50,Good point! https://t.co/L2ZyCY8QlI,2019-11-03 22:54:50,-1,"[1, 0, 0]"
94,2019-11-04 03:52:44,We won’t Steve! https://t.co/iKr859gKEL,2019-11-03 22:52:44,-1,"[1, 0, 0]"
95,2019-11-04 01:08:27,Don’t miss this show! https://t.co/EhY8CNAUqP,2019-11-03 20:08:27,-1,"[1, 0, 0]"
96,2019-11-04 00:59:45,"False stories are being reported that a few Republican Senators are saying that President Trump may have done a quid pro quo, but it doesn’t matter, there is nothing wrong with that, it is not an impeachable event. Perhaps so, but read the transcript, there is no quid pro quo!",2019-11-03 19:59:45,-1,"[1, 0, 0]"
97,2019-11-04 00:48:55,"....should give their own transcripts of the interviews to contrast with Schiff’s manipulated propaganda. House Republicans must have nothing to do with Shifty’s rendition of those interviews. He is a proven liar, leaker &amp; freak who is really the one who should be impeached!",2019-11-03 19:48:55,-1,"[1, 0, 0]"
98,2019-11-04 00:48:51,"If Shifty Adam Schiff, who is a corrupt politician who fraudulently made up what I said on the “call,” is allowed to release transcripts of the Never Trumpers &amp; others that are &amp; were interviewed, he will change the words that were said to suit the Dems purposes. Republicans...",2019-11-03 19:48:51,-1,"[1, 0, 0]"
99,2019-11-03 22:24:47,https://t.co/3O0ABd3HGt,2019-11-03 17:24:47,-1,"[1, 0, 0]"
100,2019-11-03 20:23:15,"Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those numbers will go rapidly in the other direction. On Tuesday, Vote Republican!",2019-11-03 15:23:15,-1,"[1, 0, 0]"
101,2019-11-03 20:18:09,"I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state elections to send a signal to D.C. that you want lower taxes, a strong Military, Border &amp; 2nd Amendment, great healthcare, and must take care of our Vets. VOTE REPUBLICAN",2019-11-03 15:18:09,-1,"[1, 0, 0]"
102,2019-11-03 20:05:10,"The Fake News Media is working hard so that information about the Whistleblower’s identity, which may be very bad for them and their Democrat partners, never reaches the Public.",2019-11-03 15:05:10,-1,"[1, 0, 0]"
103,2019-11-03 18:23:41,"The Democrats are Fixers, and they are working overtime to FIX the Impeachment “Process” in order to hurt the Republican Party and me. Nancy Pelosi should instead Fix her broken District and Corrupt Adam should clean up &amp; manage the California forests which are always burning!",2019-11-03 13:23:41,-1,"[1, 0, 0]"
104,2019-11-03 16:45:08,Fake News! https://t.co/pL9gMFvZEn,2019-11-03 11:45:08,-1,"[1, 0, 0]"
105,2019-11-03 16:41:58,The Angry Majority!,2019-11-03 11:41:58,-1,"[1, 0, 0]"
106,2019-11-03 16:40:52,"Many people listened to my phone call with the Ukrainian President while it was being made. I never heard any complaints. The reason is that it was totally appropriate, I say perfect. Republicans have never been more unified, and my Republican Approval Rating is now 95%!",2019-11-03 11:40:52,-1,"[1, 0, 0]"
107,2019-11-03 16:25:59,....and FEDERAL CONTRACTOR SPIES stories. The finest law enforcement on the planet could not have shown a ROADMAP like that which was produced by you. @OANN should be VERY proud of this great work. I wish more people were seeking the facts and the truth. Keep it up!,2019-11-03 11:25:59,-1,"[1, 0, 0]"
108,2019-11-03 16:25:56,"Thank you to @OANN for the absolutely incredible Special Report narrated by @PearsonSharp. Seldom do the American people get to see journalistic work of this quality. Now it would be great if the legitimate sections of law enforcement would study your SMEARS, SPIES AND LIES....",2019-11-03 11:25:56,-1,"[1, 0, 0]"
109,2019-11-03 16:13:59,“Morrison testifies he saw nothing wrong with the Trump call.” @OANN,2019-11-03 11:13:59,-1,"[1, 0, 0]"
110,2019-11-03 15:01:01,"....Matt has been a GREAT Governor. Kentucky (I Love You!), please be sure to vote for Matt Bevin on TUESDAY. Matt will never let you down, and we have to send a strong signal to Nancy Pelosi and the Radical Left Democrats. See you on Monday night, VOTE TUESDAY!!!",2019-11-03 10:01:01,-1,"[1, 0, 0]"
111,2019-11-03 15:01:00,Walking into Madison Square Garden last night with @danawhite for the big @UFC Championship fight was a little bit like walking into a Trump Rally. Plenty of MAGA &amp; KAG present. Great energy. Fantastic job Dana! Heading to D.C. and then to Kentucky for a big @MattBevin Rally...,2019-11-03 10:01:00,-1,"[1, 0, 0]"
112,2019-11-03 14:37:51,Great fight Champ! https://t.co/URRR7vnSCj,2019-11-03 09:37:51,-1,"[1, 0, 0]"
113,2019-11-03 14:33:45,"The Whistleblower got it sooo wrong that HE must come forward. The Fake News Media knows who he is but, being an arm of the Democrat Party, don’t want to reveal him because there would be hell to pay. 
 Reveal the Whistleblower and end the Impeachment Hoax!",2019-11-03 09:33:45,-1,"[1, 0, 0]"
114,2019-11-03 14:12:00,"....putting these massive, and many, fires out. Great firefighters! Also, open up the ridiculously closed water lanes coming down from the North. Don’t pour it out into the Pacific Ocean. Should be done immediately. California desperately needs water, and you can have it now!",2019-11-03 09:12:00,-1,"[1, 0, 0]"
115,2019-11-03 14:11:58,"The Governor of California, @GavinNewsom, has done a terrible job of forest management. I told him from the first day we met that he must “clean” his forest floors regardless of what his bosses, the environmentalists, DEMAND of him. Must also do burns and cut fire stoppers.....",2019-11-03 09:11:58,-1,"[1, 0, 0]"
116,2019-11-03 14:11:58,"..Every year, as the fire’s rage &amp; California burns, it is the same thing-and then he comes to the Federal Government for $$$ help. No more. Get your act together Governor. You don’t see close to the level of burn in other states...But our teams are working well together in.....",2019-11-03 09:11:58,-1,"[1, 0, 0]"
117,2019-11-03 05:03:33,https://t.co/zJ9nW8i3ao,2019-11-03 00:03:33,-1,"[1, 0, 0]"
118,2019-11-02 22:26:03,Didn’t he pick the Whistleblower? https://t.co/yalRJr8DgA,2019-11-02 17:26:03,-1,"[1, 0, 0]"
119,2019-11-02 21:10:22,A giant Scam! https://t.co/E2gcPaddD1,2019-11-02 16:10:22,-1,"[1, 0, 0]"
120,2019-11-02 21:01:44,Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https://t.co/b12GFXv6tE,2019-11-02 16:01:44,-1,"[1, 0, 0]"
121,2019-11-02 20:57:58,The Whistleblower has disappeared. Where is the Whistleblower?,2019-11-02 15:57:58,-1,"[1, 0, 0]"
122,2019-11-02 20:55:19,"Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin. Kentucky is having the best economic year ever under Matt’s leadership. He is a fantastic guy who loves our Military, our Vets and our 2nd Amendment. Vote Tuesday!",2019-11-02 15:55:19,-1,"[1, 0, 0]"
123,2019-11-02 18:18:44,"Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be coming way down with Eddie, and your 2nd Amendment will be protected. Current Democrat governor has done a really poor job! VOTE EARLY FOR EDDIE!",2019-11-02 13:18:44,-1,"[1, 0, 0]"
124,2019-11-02 18:12:22,"Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesday! https://t.co/5AZHe5DT9A",2019-11-02 13:12:22,-1,"[1, 0, 0]"
125,2019-11-02 16:26:02,"A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is on sale now. Howie is a talented New England force who was there at the very beginning!",2019-11-02 11:26:02,-1,"[1, 0, 0]"
126,2019-11-01 23:16:07,The Whistleblower must come forward to explain why his account of the phone call with the Ukrainian President was so inaccurate (fraudulent?). Why did the Whistleblower deal with corrupt politician Shifty Adam Schiff and/or his committee?,2019-11-01 18:16:07,-1,"[1, 0, 0]"
127,2019-11-01 22:48:59,You can’t Impeach someone who hasn’t done anything wrong!,2019-11-01 17:48:59,-1,"[1, 0, 0]"
128,2019-11-01 21:51:45,"Oh no, Beto just dropped out of race for President despite him saying he was “born for this.” I don’t think so!",2019-11-01 16:51:45,-1,"[1, 0, 0]"
129,2019-11-01 21:40:15,Republicans have never been more unified than they are right now! The Dems are a mess under the corrupt leadership of Nervous Nancy Pelosi and Shifty Adam Schiff!,2019-11-01 16:40:15,-1,"[1, 0, 0]"
130,2019-11-01 21:11:29,"....our great police are being disrespected, even with water dumped on them, because a Mayor and Governor just don’t “have their backs.” New York’s Finest must be cherished, respected and loved. Too many prople are leaving our special New York. Great leaders would work....",2019-11-01 16:11:29,-1,"[1, 0, 0]"
131,2019-11-01 21:11:29,.....with a President and Federal Government that wants our wonerful City and State to flourish and thrive. I Love New York!,2019-11-01 16:11:29,-1,"[1, 0, 0]"
